,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,LTE,LTE,LTE,LTE,LINK,LINK,LINK,LINK,ADA,ADA,ADA,ADA
,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume
0,1367107200000,135.3,1500517590.0,0.0,1438905600000,2.83162,0.0,90622.0,1367107200000,4.29983,73773387.0,0.0,1510185600000,0.22537665242356383,78881828.34824735,3190025.855165697,1508284800000,0.02684535467621909,696021404.3079604,2351678.122306208
1,1367193600000,141.96,1575032004.0,0.0,1438992000000,1.33075,80339475.0,368070.0,1367193600000,4.3594,74936909.0,0.0,1510272000000,0.189036422857878,66162748.000257306,2121175.2731304658,1508371200000,0.026829950465728686,695622018.2559936,2815155.9695999967
2,1367280000000,135.3,1501657493.0,0.0,1439164800000,0.6875857090838133,41556309.21112176,400464.0745435489,1367280000000,4.18295,72037636.0,0.0,1510358400000,0.18122267085020952,63427934.797573335,2229297.6966014686,1508457600000,0.030299606216252807,785580027.6424098,8883473.082062634
3,1367366400000,117.0,1298951550.0,0.0,1439251200000,1.067378879429946,64539006.306272194,1518998.2053373822,1367366400000,3.64914,62957992.0,0.0,1510444800000,0.1700132017426718,59504620.60993513,5361145.800394995,1508544000000,0.028587962639027336,741202123.8797704,5308856.917095766
4,1367452800000,103.43,1148667722.0,0.0,1439337600000,1.256613175101658,76013261.05415402,2073893.3450314845,1367452800000,3.38879,58565340.0,0.0,1510531200000,0.1806910270317246,63241859.46110361,2942234.064639167,1508630400000,0.027796038407662104,720669848.4724126,2901876.1220860113
5,1367539200000,91.01,1011066494.0,0.0,1439424000000,1.825395446319752,110468836.22388984,4380142.704000345,1367539200000,2.78957,48265782.0,0.0,1510617600000,0.184052414487514,64418345.0706298,955694.128460412,1508716800000,0.026045125887389137,675273816.053428,3505126.543112243
6,1367625600000,111.25,1236351844.0,0.0,1439510400000,1.825974891355639,110555313.26025319,4355618.378552116,1367625600000,3.51708,60927537.0,0.0,1510704000000,0.190234703697849,66582146.294247,1734784.90838908,1508803200000,0.02741740303131111,710852942.3615782,7822397.543947947
7,1367712000000,116.79,1298377788.0,0.0,1439596800000,1.670949668937766,101215246.3781064,2519633.2708181436,1367712000000,3.63013,62963530.0,0.0,1510790400000,0.168815435262205,59085402.3417718,1729243.99580533,1508889600000,0.027269301575107045,707013105.4597949,2513886.637623913
8,1367798400000,118.33,1315992304.0,0.0,1439683200000,1.476607254205028,89480939.24025029,3032657.656405736,1367798400000,3.50733,60937067.0,0.0,1510876800000,0.157111951079117,54989182.8776909,2431887.65775906,1508976000000,0.026591400393809417,689437113.7144977,2369400.241402218
9,1367884800000,106.4,1183766500.0,0.0,1439769600000,1.20387143115441,87313387.94547918,1880092.2147175823,1367884800000,3.21463,55968734.0,0.0,1510963200000,0.170396872923389,59638905.5231861,1955671.00105813,1509062400000,0.026509621493760783,687316826.4044167,2569633.7793355323
10,1367971200000,112.64,1253655040.0,0.0,1439856000000,1.281393051659975,92957858.0620156,1696013.472335737,1367971200000,3.4615,60398779.0,0.0,1511049600000,0.161562072015449,56546725.2054073,1640406.85843999,1509148800000,0.025976412766541904,673492286.1223357,1729975.2725138243
11,1368057600000,113.0,1258130700.0,0.0,1439942400000,1.252738651679077,90920695.86547753,1537200.8409894055,1368057600000,3.4239,59867679.0,0.0,1511136000000,0.161699324563346,56594763.5971711,1906351.79618848,1509235200000,0.02835203544137527,735085222.7844126,4636164.255564146
12,1368144000000,118.78,1322989457.0,0.0,1440028800000,1.484195074171873,107749185.84108424,2967730.5022106003,1368144000000,3.50018,61338134.0,0.0,1511222400000,0.15534024599226,54369086.0972911,1941859.28193498,1509321600000,0.028385407497551127,735950462.4388821,3794753.02010408
13,1368230400000,113.01,1259239352.0,0.0,1440115200000,1.40631477379752,102131022.8278611,1742881.8081502889,1368230400000,3.38675,59463981.0,0.0,1511308800000,0.171994652205768,60198128.2720188,2596575.92430811,1509408000000,0.03025109529644789,784322281.6027644,7251416.950220154
14,1368316800000,114.713,1278708679.0,0.0,1440201600000,1.380721536476638,100308763.78229792,914588.6539745613,1368316800000,3.24093,56943561.0,0.0,1511395200000,0.166836303540755,58392706.2392644,3454601.95211284,1509494400000,0.023096036249201986,598812560.9812648,7901021.254424323
15,1368403200000,117.18,1306721052.0,0.0,1440288000000,1.355182100454404,98488001.44464436,1610695.8727506467,1368403200000,3.20229,56414519.0,0.0,1511481600000,0.193630018866783,67770506.603374,3765698.54125932,1509580800000,0.021320577458857376,552780115.686688,5955251.345757528
16,1368489600000,114.5,1277278988.0,0.0,1440374400000,1.24657168269902,90625948.31797116,696476.5553267623,1368489600000,3.0673,54127355.0,0.0,1511568000000,0.181614185954014,63564965.0839048,2290381.75976242,1509667200000,0.022789425903364136,590863052.9170463,3029089.7359041288
17,1368576000000,114.156,1273849681.0,0.0,1440460800000,1.160828327907264,84423109.08066371,1053169.3862050485,1368576000000,2.93058,51798089.0,0.0,1511654400000,0.180970294760191,63339603.1660668,1901281.92002579,1509753600000,0.021802078918245652,565264037.9883977,2455852.8375674905
18,1368662400000,115.5,1289277412.0,0.0,1440547200000,1.119639156482987,81454879.46968535,1151700.041593045,1368662400000,2.86922,50797474.0,0.0,1511740800000,0.185539034791525,64938662.1770336,4221341.35026575,1509840000000,0.022026315814418173,571077843.8126849,2245833.516085977
19,1368748800000,123.1,1374605382.0,0.0,1440633600000,1.133690694008804,82504022.8230964,681460.2394411361,1368748800000,3.15827,55996854.0,0.0,1511827200000,0.182857171612691,64000010.0644418,5358820.6487581,1509926400000,0.022303564694850217,578266095.092228,4843621.340865689
20,1368835200000,123.88,1383755085.0,0.0,1440720000000,1.188895698722608,86549490.63266213,715178.7899308845,1368835200000,3.32471,59038385.0,0.0,1511913600000,0.148182604698864,51863911.6446025,5159080.70696049,1510012800000,0.022288565665913324,577877214.2109797,2527154.86620952
21,1368921600000,120.501,1346499262.0,0.0,1440806400000,1.174343905252208,85515599.87435573,607200.891453558,1368921600000,3.27158,58186372.0,0.0,1512000000000,0.176531012243321,61785854.2851622,4810132.01850591,1510099200000,0.025146348345649026,651971147.3307619,6534368.134450486
22,1369008000000,122.58,1370131821.0,0.0,1440892800000,1.322350879918967,96321049.6917207,1045589.321256734,1369008000000,3.18818,56791063.0,0.0,1512086400000,0.179304957670163,62756735.184557,4398348.13278919,1510185600000,0.03276949505442782,849617009.7707922,20628139.78678138
23,1369094400000,122.9,1374154118.0,0.0,1440979200000,1.353368417391325,98608290.53954794,1197102.0492865555,1369094400000,3.08331,55006109.0,0.0,1512172800000,0.209550265158311,73342592.805409,7446124.38173924,1510272000000,0.02729304274337792,707628644.4042084,6563683.784283738
24,1369180800000,123.0,1375791900.0,0.0,1441065600000,1.350786688734447,98446826.49425755,610368.2430900692,1369180800000,3.0921,55248109.0,0.0,1512259200000,0.23258135609056,81403474.631696,8860637.12369687,1510358400000,0.027498518721010355,712956034.570149,5632137.891194862
25,1369267200000,125.748,1407041528.0,0.0,1441152000000,1.278810765308764,93224371.25915022,629746.119316548,1369267200000,3.1525,56423615.0,0.0,1512345600000,0.230275636693036,80596472.8425626,7020923.61388415,1510444800000,0.024521650906143423,635774572.7517922,7550744.664248699
26,1369353600000,131.7,1474180657.0,0.0,1441238400000,1.262770719520856,92075482.63297981,583923.7452450913,1369353600000,3.14642,56403681.0,0.0,1512432000000,0.304149551009681,106452342.853388,11790703.0939749,1510531200000,0.025114287383622588,651139900.5067863,4284485.972081597
27,1369440000000,130.77,1464316690.0,0.0,1441324800000,1.269520099878085,92596631.55333723,333502.66115673864,1369440000000,3.1162,55979273.0,0.0,1512518400000,0.307720741757842,107702259.615245,126291.781942907,1510617600000,0.0262283052840494,680023121.191746,3183479.97319462
